Ticker,Last Close Price,Current Price,Signal,Method,Upper_Band,Middle_Band,Lower_Band
A,151.8300018310547,151.8300018310547,SELL (Price above Upper Bollinger Band),bollinger,150.9578359594948,145.89000091552734,140.8221658715599
AAPL,274.69000244140625,274.69000244140625,HOLD (Price within Bollinger Bands),bollinger,280.29794844399856,265.86797790527345,251.43800736654833
ABBV,233.5800018310547,233.5800018310547,HOLD (Price within Bollinger Bands),bollinger,236.9382626961027,224.60199966430665,212.2657366325106
ABNB,121.59500122070312,121.59500122070312,HOLD (Price within Bollinger Bands),bollinger,131.03818832819664,125.06174964904785,119.08531096989908
ABT,128.41000366210938,128.41000366210938,HOLD (Price within Bollinger Bands),bollinger,129.69356164956517,126.38299903869628,123.0724364278274
ACGL,91.51000213623047,91.51000213623047,SELL (Price above Upper Bollinger Band),bollinger,90.9211522299502,87.48350067138672,84.04584911282325
ACN,244.44000244140625,244.44000244140625,HOLD (Price within Bollinger Bands),bollinger,255.52517469921648,246.03649978637696,236.54782487353745
ADBE,338.32000732421875,338.32000732421875,HOLD (Price within Bollinger Bands),bollinger,363.19233676355,341.16649932861327,319.14066189367657
ADI,240.80499267578125,240.80499267578125,HOLD (Price within Bollinger Bands),bollinger,248.33135476582626,237.4862487792969,226.6411427927675
ADM,57.75630187988281,57.75630187988281,HOLD (Price within Bollinger Bands),bollinger,65.28426399316828,60.27631511688232,55.268366240596364
ADP,254.4949951171875,254.4949951171875,HOLD (Price within Bollinger Bands),bollinger,293.726853005716,268.21625061035155,242.7056482149871
ADSK,302.2049865722656,302.2049865722656,HOLD (Price within Bollinger Bands),bollinger,315.06221142161195,303.84774627685545,292.63328113209894
AEE,105.55000305175781,105.55000305175781,HOLD (Price within Bollinger Bands),bollinger,106.92085919689866,103.84799995422364,100.77514071154862
AEP,122.69000244140625,122.69000244140625,HOLD (Price within Bollinger Bands),bollinger,123.8315739675285,118.43222274780274,113.03287152807698
AES,14.105600357055664,14.105600357055664,HOLD (Price within Bollinger Bands),bollinger,14.667863057177511,14.128293371200561,13.588723685223611
AFL,114.49500274658203,114.49500274658203,HOLD (Price within Bollinger Bands),bollinger,115.22716479068194,109.23024978637696,103.23333478207198
AIG,77.80000305175781,77.80000305175781,HOLD (Price within Bollinger Bands),bollinger,80.38506691134943,78.00699996948242,75.62893302761542
AIZ,225.6999969482422,225.6999969482422,HOLD (Price within Bollinger Bands),bollinger,226.9305959850534,214.31149978637694,201.69240358770048
AJG,255.59500122070312,255.59500122070312,HOLD (Price within Bollinger Bands),bollinger,293.77863215984416,264.24225158691405,234.7058710139839
AKAM,89.76000213623047,89.76000213623047,SELL (Price above Upper Bollinger Band),bollinger,88.56238638408838,76.87800025939941,65.19361413471044
ALB,109.62999725341797,109.62999725341797,SELL (Price above Upper Bollinger Band),bollinger,107.68427882712481,96.95399971008301,86.22372059304121
ALGN,142.1199951171875,142.1199951171875,HOLD (Price within Bollinger Bands),bollinger,143.0246366112162,136.00299911499025,128.98136161876428
ALL,208.17999267578125,208.17999267578125,SELL (Price above Upper Bollinger Band),bollinger,206.60345606573725,195.957999420166,185.31254277459476
ALLE,167.63999938964844,167.63999938964844,HOLD (Price within Bollinger Bands),bollinger,179.75711012374722,169.68250122070313,159.60789231765904
AMAT,230.89999389648438,230.89999389648438,HOLD (Price within Bollinger Bands),bollinger,239.90360468439408,230.60150146484375,221.29939824529342
AMCR,8.425000190734863,8.425000190734863,HOLD (Price within Bollinger Bands),bollinger,8.544095476421523,8.158250069618225,7.772404662814926
AMD,255.02999877929688,255.02999877929688,HOLD (Price within Bollinger Bands),bollinger,268.75834389805993,246.5569984436035,224.35565298914707
AME,197.84500122070312,197.84500122070312,HOLD (Price within Bollinger Bands),bollinger,204.90199464412328,192.26325073242188,179.62450682072048
AMGN,336.67999267578125,336.67999267578125,SELL (Price above Upper Bollinger Band),bollinger,335.29252887671225,304.63050079345703,273.9684727102018
AMP,471.55499267578125,471.55499267578125,HOLD (Price within Bollinger Bands),bollinger,488.2158192581812,466.2646881103516,444.31355696252194
AMT,183.83999633789062,183.83999633789062,HOLD (Price within Bollinger Bands),bollinger,196.6139919872818,184.5994987487793,172.5850055102768
AMZN,245.2899932861328,245.2899932861328,HOLD (Price within Bollinger Bands),bollinger,261.4157285218273,233.33149948120118,205.24727044057505
ANET,135.19000244140625,135.19000244140625,HOLD (Price within Bollinger Bands),bollinger,166.33857393542596,147.70249938964844,129.06642484387092
AON,350.17999267578125,350.17999267578125,HOLD (Price within Bollinger Bands),bollinger,353.9955964303675,340.91299896240236,327.8304014944372
AOS,66.22000122070312,66.22000122070312,HOLD (Price within Bollinger Bands),bollinger,70.4280338284217,67.12658920288087,63.825144577340026
APA,24.334999084472656,24.334999084472656,HOLD (Price within Bollinger Bands),bollinger,24.90365016528888,23.07860040664673,21.253550648004577
APD,263.7950134277344,263.7950134277344,HOLD (Price within Bollinger Bands),bollinger,267.41132819508744,252.23724975585938,237.06317131663133
APH,141.10499572753906,141.10499572753906,HOLD (Price within Bollinger Bands),bollinger,147.77137141657627,135.8662494659424,123.9611275153085
APO,133.97999572753906,133.97999572753906,HOLD (Price within Bollinger Bands),bollinger,135.1899350698594,126.93949890136719,118.68906273287499
APP,589.3699951171875,589.3699951171875,HOLD (Price within Bollinger Bands),bollinger,663.3636288939508,609.5959991455078,555.8283693970648
APTV,83.22000122070312,83.22000122070312,HOLD (Price within Bollinger Bands),bollinger,87.18776494349076,83.59949989318848,80.0112348428862
ARE,53.97999954223633,53.97999954223633,HOLD (Price within Bollinger Bands),bollinger,85.55665974232352,64.30050029754639,43.04434085276927
ATO,178.08999633789062,178.08999633789062,HOLD (Price within Bollinger Bands),bollinger,179.84763569540027,175.50250015258788,171.1573646097755
AVB,178.6999969482422,178.6999969482422,HOLD (Price within Bollinger Bands),bollinger,192.9699831441495,181.34649963378905,169.7230161234286
AVGO,354.4100036621094,354.4100036621094,HOLD (Price within Bollinger Bands),bollinger,380.587473629935,357.22249908447264,333.8575245390103
AVY,174.02479553222656,174.02479553222656,HOLD (Price within Bollinger Bands),bollinger,188.11824062533844,173.36273880004882,158.6072369747592
